Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante culori,Link variante,COD REFERINTA
,,,,,Light gray,https://www.thebathcollection.com/en/products/rosario-grisclaro/,BAT_6046
,,,,,Dark Gray,https://www.thebathcollection.com/en/products/rosario-grisoscuro/,BAT_6047
,,SUSPENDATE,Porcelain,Set Belted,Taupe,https://www.thebathcollection.com/en/products/set-belted-taupe/#colocacion,BAT_6075
,,,,,Paprika,https://www.thebathcollection.com/en/products/set-belted-paprika/,BAT_6076
,,,,,Ocean,https://www.thebathcollection.com/en/products/set-belted-ocean/,BAT_6077
,,,,,Azure,https://www.thebathcollection.com/en/products/set-belted-azure/,BAT_6078
,,,,,Pale,https://www.thebathcollection.com/en/products/set-belted-pale/,BAT_6079
,,,,,Nero,https://www.thebathcollection.com/en/products/set-belted-nero/,BAT_6080
,,,,Marsella,White,https://www.thebathcollection.com/en/products/marsella/,BAT_4036
,,,,Hamburg,White,https://www.thebathcollection.com/en/products/hamburg/,BAT_H1012
,,,,Fuengirola,White,https://www.thebathcollection.com/en/products/fuengirola/,BAT_0065B
,,,,Bruselas 900,White,https://www.thebathcollection.com/en/products/brussels-900/,BAT_4108
,,,,Bruselas 600,White,https://www.thebathcollection.com/en/products/brussels-600/,BAT_4106
,,,,Bruselas 500,White,https://www.thebathcollection.com/en/products/brussels-500/,BAT_4105
,,,,Ice Cream,White,https://www.thebathcollection.com/en/products/ice-cream/,BAT_0078
,,,,Bolonia,White,https://www.thebathcollection.com/en/products/bolonia/,BAT_0010
,,,Metallic,Detroit pared,Gun Metal,https://www.thebathcollection.com/en/products/detroit-pared-gunmetal/,BAT_8361
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-pared-bronce/,BAT_8362
,,,,,Brushed steel,https://www.thebathcollection.com/en/products/detroit-brushed-wall/,BAT_8360
,,SUB BLAT,Porcelain,Torino,White,https://www.thebathcollection.com/en/products/torino-380/,BAT_0051N
,,,,Modena,White,https://www.thebathcollection.com/en/products/modena/,BAT_0054
,,,,Cerdeña,White,https://www.thebathcollection.com/en/products/cerdena-435/,BAT_0052
,,,,Ancona,White,https://www.thebathcollection.com/en/products/ancona/,BAT_0053
