Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,,,,
,,DE BLAT,Naoto Fukasawa,AF/21 - Baterie joasă,,Chrome,https://www.fantini.it/en-us/product/50-5347-2702a204wucy,2702A204WUCY,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5347-27p5a204wucy,27P5A204WUCY,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5347-2793a204wucy,2793A204WUCY,,,,,
,,,,AF/21 - Baterie înaltă ,,Chrome,https://www.fantini.it/en-us/product/50-5349-2702a206wucx,2702A206WUCX,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5349-27p5a206wucx,27P5A206WUCX,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5349-2793a206wucx,2793A206WUCX,,,,,
,,DE PERETE,,AF/21 I - Baterie încastrată,,Chrome,https://www.fantini.it/en-us/product/50-5344-2702a713bucx,2702A713BUCX+4400A713AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5344-27p5a713bucx,27P5A713BUCX+4400A713AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5344-2793a713bucx,2793A713BUCX+4400A713AU,,,,,
,,,,AF/21 II - Baterie încastrată,,Chrome,https://www.fantini.it/en-us/product/50-5351-2702a813bucy,2702A813BUCY+4400R010AU,,,,,
